Approach,Prediction Horizon,Patient,Day,Hour,RMSE
dietitian,9,006,4,2,7.8101718816350045
dietitian,9,006,4,3,8.744770291277463
dietitian,9,006,4,4,6.933482026198933
dietitian,9,006,4,5,7.424582594787955
dietitian,9,006,4,6,16.575771523845187
dietitian,9,006,4,7,4.772500535858209
dietitian,9,006,4,8,16.042302617760022
dietitian,9,006,4,9,22.698397653314437
dietitian,9,006,4,10,26.501666868234125
dietitian,9,006,4,11,5.231351711597901
dietitian,9,006,4,12,24.493461912242207
dietitian,9,006,4,13,34.17050254548458
dietitian,9,006,4,14,29.278029011417626
dietitian,9,006,4,15,28.06640814455045
dietitian,9,006,4,16,44.943287171148256
dietitian,9,006,4,17,6.008119346945937
dietitian,9,006,4,18,10.161331391357775
dietitian,9,006,4,19,17.94284025808084
dietitian,9,006,4,20,20.748065429484768
dietitian,9,006,4,21,28.677215518768044
dietitian,9,006,4,22,28.74706423968067
dietitian,9,006,4,23,11.179342942491301
dietitian,9,006,5,0,29.65030572230064
dietitian,9,006,5,1,34.940205980334284
dietitian,9,006,5,2,27.46239590824434
dietitian,9,006,5,3,25.219858850346196
dietitian,9,006,5,4,7.142408764521804
dietitian,9,006,5,5,8.603053870509184
dietitian,9,006,5,6,8.380027834499455
dietitian,9,006,5,7,7.134863566400773
dietitian,9,006,5,8,15.950826750826856
dietitian,9,006,5,9,8.918444249458528
dietitian,9,006,5,10,16.31034183976481
dietitian,9,006,5,11,11.114948027366504
dietitian,9,006,5,12,41.708984410479616
dietitian,9,006,5,13,16.157168487522114
dietitian,9,006,5,14,12.044759119143137
dietitian,9,006,5,15,19.31465717363193
dietitian,9,006,5,16,30.25398328786773
dietitian,9,006,5,17,13.874581038607724
dietitian,9,006,5,18,7.606920053521433
dietitian,9,006,5,19,13.910804678699016
dietitian,9,006,5,20,36.44028271181791
dietitian,9,006,5,21,19.777300794966933
dietitian,9,006,5,22,19.381291477728013
dietitian,9,006,5,23,23.36531272967689
dietitian,9,006,6,0,13.604248093650662
dietitian,9,006,6,1,11.073720409369262
dietitian,9,006,6,2,15.420782724806756
dietitian,9,006,6,3,6.795389421796486
dietitian,9,006,6,4,6.574101532299424
dietitian,9,006,6,5,12.652274901197478
dietitian,9,006,6,6,8.578465811443344
dietitian,9,006,6,7,6.7121093517025825
dietitian,9,007,4,0,46.685616008070234
dietitian,9,007,4,1,39.47672042409081
dietitian,9,007,4,2,20.179101066911826
dietitian,9,007,4,3,14.382516125597379
dietitian,9,007,4,4,7.141577965886424
dietitian,9,007,4,5,8.530106724679042
dietitian,9,007,4,6,6.807578250580577
dietitian,9,007,4,7,5.326045064331073
dietitian,9,007,4,8,15.417064370730095
dietitian,9,007,4,9,23.02564032345252
dietitian,9,007,4,10,34.13214195630812
dietitian,9,007,4,11,9.951464642663497
dietitian,9,007,4,12,22.557208745276032
dietitian,9,007,4,13,33.96867621892856
dietitian,9,007,4,14,22.798685663729152
dietitian,9,007,4,15,22.130640273191453
dietitian,9,007,4,16,12.72578591845345
dietitian,9,007,4,17,9.777839843794462
dietitian,9,007,4,18,8.999458496853437
dietitian,9,007,4,19,7.946300724421204
dietitian,9,007,4,20,7.576234343738469
dietitian,9,007,4,21,34.09955772233865
dietitian,9,007,4,22,12.580958400576133
dietitian,9,007,4,23,16.316839885403333
dietitian,9,007,5,0,16.433683100045258
dietitian,9,007,5,1,11.368109986290884
dietitian,9,007,5,2,9.799774925907212
dietitian,9,008,3,0,30.788318224994516
dietitian,9,008,3,1,26.45284076636536
dietitian,9,008,3,2,48.44787814358743
dietitian,9,008,3,3,56.18877282152107
dietitian,9,008,3,4,18.850848812137656
dietitian,9,008,3,5,12.419449249240012
dietitian,9,008,3,6,15.052634374555923
dietitian,9,008,3,7,31.397306517006264
dietitian,9,008,3,8,20.203459238012787
dietitian,9,008,3,9,12.510012407707954
dietitian,9,008,3,10,14.645908788217165
dietitian,9,008,3,11,68.98258467366465
dietitian,9,008,3,12,30.432913347164394
dietitian,9,008,3,13,20.173048700812668
dietitian,9,008,3,14,25.870089833770713
dietitian,9,008,3,15,36.38258834493234
dietitian,9,008,3,16,46.60401666909012
dietitian,9,008,3,17,42.54555083678837
dietitian,9,008,3,18,20.53123130946916
dietitian,9,008,3,19,19.463448333778608
dietitian,9,008,3,20,56.42538749056187
dietitian,9,008,3,21,29.689986332042725
dietitian,9,008,3,22,20.229427307470765
dietitian,9,008,3,23,16.71762422876915
dietitian,9,008,4,0,28.56936157169634
dietitian,9,008,4,1,15.619827847496884
dietitian,9,008,4,2,17.65861945295198
dietitian,9,008,4,3,17.805834117157126
dietitian,9,008,4,4,14.763951476526103
dietitian,9,008,4,5,13.139924460064801
dietitian,9,008,4,6,7.636073016382971
dietitian,9,008,4,7,33.25554668950064
dietitian,9,008,4,8,16.842858560892548
dietitian,12,001,4,0,15.286542403660226
dietitian,12,001,4,1,5.161375955032331
dietitian,12,001,4,2,9.929028226554573
dietitian,12,001,4,3,18.470569657288937
dietitian,12,001,4,4,14.305987929494442
dietitian,12,001,4,5,15.559700793263628
dietitian,12,001,4,6,31.45880131585525
dietitian,12,001,4,7,55.34570416635904
dietitian,12,001,4,8,29.346723699040194
dietitian,12,001,4,9,50.6960368652018
dietitian,12,001,4,10,73.95209931313575
dietitian,12,001,4,11,38.929355287167525
dietitian,12,001,4,12,32.42726221558027
dietitian,12,001,4,13,20.519001706402715
dietitian,12,001,4,14,15.651711390776196
dietitian,12,001,4,15,12.980403698897886
dietitian,12,001,4,16,18.197704859421
dietitian,12,001,4,17,12.738823773363
dietitian,12,001,4,18,100.24319284218066
dietitian,12,001,4,19,68.72280408907133
dietitian,12,001,4,20,24.41946794297977
dietitian,12,001,4,21,25.699403336371706
dietitian,12,001,4,22,59.72997559799477
dietitian,12,001,4,23,19.765486847087885
dietitian,12,001,5,0,8.949894753695007
dietitian,12,001,5,1,7.82613108380398
dietitian,12,001,5,2,7.312922292770329
dietitian,12,001,5,3,4.267831597476164
dietitian,12,001,5,4,4.828300380535143
dietitian,12,001,5,5,14.854515225733612
dietitian,12,001,5,6,86.65284326398782
dietitian,12,001,5,7,57.10059069477603
dietitian,12,001,5,8,68.83648679617885
dietitian,12,001,5,9,21.10076415260749
dietitian,12,001,5,10,55.90268148873608
dietitian,12,001,5,11,12.986854711427567
dietitian,12,001,5,12,30.996529326596907
dietitian,12,001,5,13,41.93138885459575
dietitian,12,001,5,14,26.240371056261264
dietitian,12,001,5,15,24.93659466210187
dietitian,12,001,5,16,14.011411624375146
dietitian,12,001,5,17,55.19636166133575
dietitian,12,001,5,18,68.95550372722064
dietitian,12,001,5,19,47.04393492537566
dietitian,12,001,5,20,29.841251123917946
dietitian,12,001,5,21,21.105789862743656
dietitian,12,001,5,22,34.48822761323523
dietitian,12,001,5,23,21.465849082259496
dietitian,12,001,6,0,11.204398664535587
dietitian,12,001,6,1,6.870623305237345
dietitian,12,001,6,2,10.337562430892573
dietitian,12,001,6,3,8.810632568387314
dietitian,12,001,6,4,16.003728952312063
dietitian,12,001,6,5,24.028260225975405
dietitian,12,001,6,6,57.47032523235276
dietitian,12,001,6,7,69.17552556503976
dietitian,12,001,6,8,30.144272794090806
dietitian,12,001,6,9,38.21373237361048
dietitian,12,001,6,10,22.461346555207957
dietitian,12,001,6,11,30.758008825350736
dietitian,12,001,6,12,17.51519130367107
dietitian,12,001,6,13,11.876454401295463
dietitian,12,001,6,14,12.522332366415842
dietitian,12,001,6,15,16.742578465510796
dietitian,12,002,4,0,43.669724373962126
dietitian,12,002,4,1,38.09060330199193
dietitian,12,002,4,2,25.86351671107089
dietitian,12,002,4,3,8.154893498272518
dietitian,12,002,4,4,8.548262030298002
dietitian,12,002,4,5,7.682227984822541
dietitian,12,002,4,6,10.353294497064619
dietitian,12,002,4,7,109.66617122847907
dietitian,12,002,4,8,43.9202524767422
dietitian,12,002,4,9,50.99951773614996
dietitian,12,002,4,10,100.71655316411828
dietitian,12,002,4,11,24.85179909944432
dietitian,12,002,4,12,68.62617392906472
dietitian,12,002,4,13,38.57914430260792
dietitian,12,002,4,14,22.680463145420724
dietitian,12,002,4,15,25.060577429362947
dietitian,12,002,4,16,19.03568488836027
dietitian,12,002,4,17,58.72539174730874
dietitian,12,002,4,18,22.682623534328346
dietitian,12,002,4,19,48.53734945782578
dietitian,12,002,4,20,33.088919721442146
dietitian,12,002,4,21,109.6626539280542
dietitian,12,002,4,22,40.070363881729506
dietitian,12,002,4,23,14.766941456310052
dietitian,12,002,5,0,57.98538564030343
dietitian,12,002,5,1,24.135045385029738
dietitian,12,002,5,2,17.446396557327695
dietitian,12,002,5,3,10.12696416995804
dietitian,12,002,5,4,6.9980920512013585
dietitian,12,002,5,5,14.947781902849464
dietitian,12,002,5,6,82.49499621424268
dietitian,12,002,5,7,63.79113989842711
dietitian,12,002,5,8,32.638446373164314
dietitian,12,002,5,9,27.484089032489965
dietitian,12,002,5,10,80.90883770021004
dietitian,12,004,4,0,54.81749555801919
dietitian,12,004,4,1,64.13630744151108
dietitian,12,004,4,2,79.32448134389496
dietitian,12,004,4,3,51.852403018323734
dietitian,12,004,4,4,41.322581511354585
dietitian,12,004,4,5,70.15381404551547
dietitian,12,004,4,6,142.34287885926983
dietitian,12,004,4,7,84.25282252267694
dietitian,12,004,4,8,70.32478741537915
dietitian,12,004,4,9,72.66641835009038
dietitian,12,004,4,10,105.99099061065235
dietitian,12,004,4,11,57.72170682764333
dietitian,12,004,4,12,105.62549459404649
dietitian,12,004,4,13,56.90718227725233
dietitian,12,004,4,14,19.629101068373195
dietitian,12,004,4,15,99.73129905627705
dietitian,12,004,4,16,80.05372317285209
dietitian,12,006,4,0,16.70050410705825
dietitian,12,006,4,1,2.8750399590626237
dietitian,12,006,4,2,7.766573276456666
dietitian,12,006,4,3,8.244669004803168
dietitian,12,006,4,4,11.220410716949118
dietitian,12,006,4,5,10.49288029992483
dietitian,12,006,4,6,23.801537851719363
dietitian,12,006,4,7,6.084361611299406
dietitian,12,006,4,8,19.285271152214225
dietitian,12,006,4,9,41.99626148283446
dietitian,12,006,4,10,34.25581094132857
dietitian,12,006,4,11,11.534098276820284
dietitian,12,006,4,12,30.045164600382282
dietitian,12,006,4,13,36.28691655754465
dietitian,12,006,4,14,42.583619042279395
dietitian,12,006,4,15,29.864873354854
dietitian,12,006,4,16,59.057621817200435
dietitian,12,006,4,17,6.304469438255574
dietitian,12,006,4,18,14.376682326215937
dietitian,12,006,4,19,26.69880273660013
dietitian,12,006,4,20,28.490554627902473
dietitian,12,006,4,21,45.56603423442115
dietitian,12,006,4,22,43.6449705508788
dietitian,12,006,4,23,22.46332903749855
dietitian,12,006,5,0,48.373426319381366
dietitian,12,006,5,1,45.61262566272968
dietitian,12,006,5,2,44.170115530244566
dietitian,12,006,5,3,31.19318931341262
dietitian,12,006,5,4,8.901661008266263
dietitian,12,006,5,5,9.98390908444775
dietitian,12,006,5,6,10.443540204486316
dietitian,12,006,5,7,5.718618423625814
dietitian,12,006,5,8,20.209602669466275
dietitian,12,006,5,9,9.604586180042137
dietitian,12,006,5,10,21.924755335728914
dietitian,12,006,5,11,17.18431851644546
dietitian,12,006,5,12,49.50103105483481
dietitian,12,006,5,13,16.291520242521784
dietitian,12,006,5,14,14.94526119544636
dietitian,12,006,5,15,21.94926074713505
dietitian,12,006,5,16,37.64723241989613
dietitian,12,006,5,17,14.849683083272962
dietitian,12,006,5,18,11.665074798403278
dietitian,12,006,5,19,14.409512232505989
dietitian,12,006,5,20,41.73828738318184
dietitian,12,006,5,21,27.466094064866883
dietitian,12,006,5,22,32.54960151744297
dietitian,12,006,5,23,39.14851227649475
dietitian,12,006,6,0,14.594811956151082
dietitian,12,006,6,1,9.69886816776882
dietitian,12,006,6,2,18.882415599633955
dietitian,12,006,6,3,7.696637033646408
dietitian,12,006,6,4,7.529211467163097
dietitian,12,006,6,5,14.038785092816775
dietitian,12,006,6,6,11.103774440622395
dietitian,12,006,6,7,7.485613025838851
dietitian,12,007,4,0,61.13164185771465
dietitian,12,007,4,1,41.26773515670762
dietitian,12,007,4,2,29.791126624339505
dietitian,12,007,4,3,21.801521273706495
dietitian,12,007,4,4,7.897825833984726
dietitian,12,007,4,5,7.207907621392974
dietitian,12,007,4,6,8.49806360072539
dietitian,12,007,4,7,7.46978461991535
dietitian,12,007,4,8,20.713007634756064
dietitian,12,007,4,9,27.733671519924144
dietitian,12,007,4,10,43.513619034159724
dietitian,12,007,4,11,10.188244034469921
dietitian,12,007,4,12,26.63561680008652
dietitian,12,007,4,13,47.71352551922192
dietitian,12,007,4,14,25.478061352150913
dietitian,12,007,4,15,27.12930327685692
dietitian,12,007,4,16,15.54994913540075
dietitian,12,007,4,17,11.24592778268131
dietitian,12,007,4,18,12.718436114068481
dietitian,12,007,4,19,7.569221060829339
dietitian,12,007,4,20,11.139451697051435
